ZIP,POP,P0_44,P45_64,P65_,PER65,MEDINC,PERNOINS,PERW,PERHIS,PERBLK,PERASN,PERAUTO,PERTRAN,PERPEDB,PERTELE,PEROFFTC,PERHSRV,PERPSRV,PERFOOD,PERCLEAN,FDTRTPER,WS_5,POPDENS,PERCROWD,CASE4_16,TEST4_16,CASER4_16,TESTR4_16,POSRATE4_16
60623,85979,60250,17924,7805,0.090778,31634,0.213823,0.02917,0.661371,0.303539,0.000884,0.685552,0.218752,0.058719,0.031486,0.293095,0.044653,0.0186,0.085204,0.078378,0.230769,61.135027,0.006180516,0.11274942,469,1176,5.454820363,13.67775852,0.398809524
60624,36158,24567,7669,3922,0.108468,22992,0.120378,0.027352,0.052962,0.903728,0.003125,0.531102,0.384704,0.022471,0.030765,0.362294,0.100803,0.05157,0.070721,0.04886,0.117647,66.53608,0.003949421,0.06396911,290,902,8.020355108,24.94607003,0.321507761
60625,79243,54525,17143,7575,0.095592,64117,0.137415,0.455384,0.327827,0.047134,0.128907,0.52817,0.329709,0.071038,0.056592,0.466568,0.031851,0.011417,0.082363,0.036696,0,53.17007,0.007896586,0.05497822,306,991,3.861539821,12.50583648,0.308779011
60626,49730,33193,11506,5031,0.101166,40591,0.13441,0.451317,0.206153,0.247416,0.058697,0.412385,0.4115,0.099178,0.059418,0.442474,0.032053,0.018202,0.101527,0.033504,0.181818,25.65331,0.011262508,0.06448866,255,906,5.127689523,18.21837925,0.281456954
60628,66724,38297,17155,11272,0.168935,40261,0.088447,0.019198,0.03435,0.932078,0.001843,0.68019,0.263563,0.015166,0.029016,0.410436,0.071709,0.068736,0.035132,0.044833,0.954545,7.278283,0.002359262,0.02647909,385,1298,5.770037768,19.45327019,0.296610169
60629,111850,77881,22842,11127,0.099481,42019,0.151034,0.08228,0.710165,0.195485,0.003612,0.761762,0.180401,0.03698,0.017168,0.300504,0.036032,0.032127,0.091544,0.066539,0.318182,34.06009,0.006348957,0.07185513,493,1283,4.407688869,11.47071971,0.384255651
60630,57344,32099,16507,8738,0.152379,72092,0.10169,0.561244,0.27914,0.014404,0.111869,0.740937,0.206349,0.019616,0.026547,0.481714,0.033327,0.039782,0.038971,0.040087,0.083333,49.327147,0.004637282,0.03044979,171,907,2.982003348,15.81682478,0.188533627
60631,29529,15693,8367,5469,0.185208,91034,0.021503,0.821328,0.106743,0.01507,0.029327,0.825697,0.107355,0.019081,0.037766,0.541975,0.015465,0.102079,0.036062,0.008187,0.142857,32.211999,0.003063591,0.00586409,96,732,3.251041349,24.78919029,0.131147541
60632,91039,63961,18376,8702,0.095585,42758,0.180299,0.08783,0.839574,0.011039,0.056492,0.730279,0.208628,0.041259,0.013258,0.304411,0.027855,0.017131,0.102013,0.078473,0.391304,44.331993,0.00472917,0.12526122,382,1070,4.19600391,11.75320467,0.357009346
60633,12871,7491,3704,1676,0.130215,47083,0.122695,0.314505,0.449848,0.232072,0,0.839423,0.099119,0.031291,0.020423,0.430845,0.019393,0.060556,0.068057,0.036041,0.75,3.285511,0.00048317,0.02563016,45,175,3.496231839,13.59645715,0.257142857
