STATION,NAME,DATE,PRCP,TMAX,TMIN
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",5/5/28,0,65,45
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",5/6/28,0,53,39
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",5/7/28,0,57,35
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",5/8/28,0,73,37
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",5/9/28,0,86,48
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",5/10/28,0.15,78,51
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",5/11/28,0,65,41
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",5/12/28,0,53,31
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",5/13/28,0,65,34
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",5/14/28,0,70,48
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",5/15/28,0.03,69,54
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",5/16/28,0.76,69,59
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",5/17/28,0,77,60
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",5/18/28,0.16,75,54
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",5/19/28,0,69,51
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",5/20/28,0,79,48
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",5/21/28,0,71,49
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",5/22/28,0,78,48
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",5/23/28,0,62,44
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",5/24/28,0.15,84,42
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",5/25/28,0,65,48
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",5/26/28,0.34,60,45
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",5/27/28,0.01,64,42
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",5/28/28,0,64,44
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",5/29/28,0,65,51
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",5/30/28,0,68,46
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",5/31/28,0,67,41
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",6/1/28,0,78,52
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",6/2/28,0,58,48
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",6/3/28,0,71,45
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",6/4/28,0.01,59,51
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",6/5/28,0.34,54,48
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",6/6/28,0.02,58,48
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",6/7/28,0,71,45
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",6/8/28,0,74,59
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",6/9/28,0,64,46
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",6/10/28,0,72,41
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",6/11/28,0,76,49
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",6/12/28,0,87,58
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",6/13/28,0,79,59
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",6/14/28,0,82,51
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",6/15/28,0,70,47
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",6/16/28,0,72,50
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",6/17/28,0.31,77,59
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",6/18/28,0.03,83,58
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",6/19/28,0.79,86,57
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",6/20/28,2.56,77,64
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",6/21/28,0.03,83,61
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",6/22/28,0.19,81,60
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",6/23/28,0,69,56
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",6/24/28,1.34,71,52
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",6/25/28,0.15,56,50
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",6/26/28,0.02,72,52
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",6/27/28,0,78,55
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",6/28/28,0.32,77,60
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",6/29/28,0.53,66,56
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",6/30/28,0,86,54
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",7/1/28,0,85,64
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",7/5/28,0,78,59
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",10/4/28,0.5,79,62
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",10/8/28,0.46,77,54
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",10/9/28,0,71,53
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",10/10/28,0,82,49
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",10/11/28,0,88,61
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",10/12/28,0.38,79,63
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",10/13/28,0.01,73,50
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",10/14/28,0,62,50
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",10/15/28,0,71,50
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",10/16/28,0.01,71,63
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",10/17/28,0.52,65,55
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",10/18/28,0.12,57,50
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",10/19/28,0.03,52,42
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",10/20/28,0,59,39
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",10/21/28,0,63,42
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",10/22/28,0.54,59,39
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",10/23/28,0,55,38
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",10/24/28,0,60,38
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",10/25/28,0,52,35
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",10/26/28,0.06,50,31
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",10/27/28,0.03,50,40
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",10/28/28,0,46,32
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",10/29/28,0,43,25
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",10/30/28,0,44,25
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",10/31/28,0,52,28
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",11/1/28,0.08,51,42
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",11/2/28,0.55,47,45
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",11/3/28,0.03,48,34
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",11/4/28,0,54,30
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",11/5/28,0,59,34
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",11/6/28,0,59,36
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",11/7/28,0.1,53,41
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",11/8/28,0,44,35
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",11/9/28,0.22,38,34
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",11/10/28,0.05,41,34
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",11/11/28,0,55,35
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",11/12/28,0,48,31
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",11/13/28,0,50,29
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",11/14/28,0,60,43
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",11/15/28,0,68,56
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",11/16/28,1.29,61,47
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",11/17/28,1.26,52,42
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",11/18/28,0,42,37
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",11/19/28,0.03,38,32
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",11/20/28,0,33,31
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",11/21/28,0.02,44,29
