dis_ID,district,sub_ID,subdist,pop1851,pop_house,supplier,supplierID,perc_sou,mostly sv,perc_lam,mostly lam,perc_other,lam_degree,d_overall,d_sou,d_lam,d_pump,d_thames,d_unasc,rate_sou7w,rate_lam7w,rate_oth7w,deaths1849,deaths1854,rate1849,rate1854,pop1849,pop1854,rAvSupR_49,rAvSupR_54,pred_Snow,pred_DiD49,pred_DiD54
3,Lambeth,24,Kennington (1st),24261,6.1,SouthwarkVauxhall_Lambeth,2,0.669620435,1,0.110225171,0,0.220154393,less_Lambeth,71,63,5,3,0,0,34.335663,16.55475698,4.973103357,187,303,81.56678008,110.5799058,22926,27401,130.1020493,84.85785393,141,134.7305892,118.7906446
9,Wandsworth,8,Battersea,10560,6,SouthwarkVauxhall,1,0.678322596,1,0,0,0.321677404,dirty_none,54,42,0,4,8,0,50.96085764,,30.70325449,111,171,115.4086089,140.7407407,9618,12150,134.8610829,146.6114736,154,120.3848561,121.8285569
6,St. George Southwark,14,Kent Road,18126,7.1,SouthwarkVauxhall_Lambeth,2,0.683466865,1,0.225837247,0,0.090695888,less_Lambeth,57,52,5,0,0,0,40.1852287,11.69378214,0,267,174,156.9111425,91.90302646,17016,18933,130.1020493,84.85785393,128,157.1810452,119.9304501
5,Rotherhithe,7,Rotherhithe,17805,6.4,SouthwarkVauxhall,1,0.779875854,1,0,0,0.220124146,dirty_none,103,68,0,0,35,0,45.48190756,,82.93838863,352,282,207.6818691,147.097178,16949,19171,134.8610829,146.6114736,160,141.1728033,142.8658011
8,St. Saviour Southwark,1,St. Saviour Southwark,19709,7.3,SouthwarkVauxhall,1,0.826838241,1,0,0,0.173161759,dirty_none,125,115,0,0,10,0,69.08261875,,28.6839871,283,371,145.6360642,184.2745741,19432,20133,134.8610829,146.6114736,153,151.9645632,153.7869798
7,St. Olave Southwark,3,St. John Horsleydown,11360,7.7,SouthwarkVauxhall,1,0.837218925,1,0,0,0.162781075,dirty_none,51,48,0,0,3,0,49.81551338,,16.01325992,192,148,172.972973,128.5950126,11100,11509,134.8610829,146.6114736,160,154.4591927,156.3115258
1,Bermondsey,6,Leather Market,15295,6.7,SouthwarkVauxhall,1,0.922355254,1,0,0,0.077644746,dirty_none,81,81,0,0,0,0,54.39708708,,0,226,237,153.178799,146.8037661,14754,16144,134.8610829,146.6114736,150,176.5263537,178.6433246
1,Bermondsey,4,St. James Bermondsey,18899,6.6,SouthwarkVauxhall,1,1,1,0,0,0,dirty_none,123,102,0,0,21,0,53.3082471,,,249,362,143.2186817,189.1920142,17386,19134,134.8610829,146.6114736,156,199.3893665,201.7805194
7,St. Olave Southwark,2,St. Olave Southwark,8015,9.1,SouthwarkVauxhall,1,1,1,0,0,0,dirty_none,53,43,0,0,5,5,53.64940736,,,157,161,195.8827199,200.8733624,8015,8015,134.8610829,146.6114736,160,199.3893665,201.7805194
1,Bermondsey,5,St. Mary Magdalen,13934,7.5,SouthwarkVauxhall,1,1,1,0,0,0,dirty_none,87,83,0,0,4,0,53.74951431,,,259,244,200.1236285,158.0106204,12942,15442,134.8610829,146.6114736,160,199.3893665,201.7805194
10,Lewisham,32,Sydenham,4501,5.6,Lambeth,3,,,,,,all,4,0,1,2,0,1,,,,5,,,,,,,,,,
